hlnum,ctermfg,ctermbg,guifg,guibg
1,11,13,red,
2,11,3,green,
3,11,10,blue,
4,11,12,black,IndianRed
5,0,14,black,chartreuse
6,11,9,black,DeepSkyBlue
7,11,1,white,firebrick
8,11,2,white,DarkGreen
9,11,4,white,DarkSlateBlue
11,11,5,black,thistle
12,11,6,black,burlywood
13,0,7,black,PowderBlue
14,11,8,black,peru
15,0,11,black,DarkSeaGreen
16,,,black,SteelBlue
17,,,black,DarkOrange
18,,,black,DarkOliveGreen
19,,,black,SlateGray
21,,,red,grey20
22,,,green,grey20
23,,,CornflowerBlue,grey20
24,,,red,grey40
25,,,green,grey40
26,,,blue,grey40
27,,,red,grey70
28,,,DarkGreen,grey70
29,,,blue,grey70
